group,name,anatomy,modality,targets,link,link_type,worksheet,row
CT,AbdomenAtlas,Abdomen,CT,Abdominal organs,https://huggingface.co/datasets/BodyMaps/AbdomenAtlas1.1MiniMask,Dataset,organizers,30
CT,AbdomenCT-1K,Abdomen,CT,"Liver, Kidneys, Pancreas, Spleen",https://github.com/JunMa11/AbdomenCT-1K,Dataset,organizers,2
CT,Adrenal-ACC-Ki67-Seg,Abdomen,CT,Adrenocortical carcinoma,https://doi.org/10.7937/1FPG-VM46,Dataset,organizers,3
CT,AeroPath,Chest,CT,airways,https://github.com/raidionics/AeroPath?tab=readme-ov-file,Dataset,organizers,155
CT,AMOS,Abdomen,CT,Abdominal organs,https://amos22.grand-challenge.org/,Dataset,organizers,4
CT,AortaSeg24,Abdomen,CT,Aorta,https://aortaseg24.grand-challenge.org,Dataset,participants,54
CT,Aortic-Dissection,Chest,CTA,"true lumina, false lumina",https://figshare.com/articles/dataset/Aortic_Dissection_Dataset_and_Segmentations/22269091,Dataset,organizers,168
CT,ATM22,Chest,CT,Airway trees,https://atm22.grand-challenge.org/,Dataset,organizers,51
CT,BTCV,Abdomen,CT,abdominal organs,https://www.synapse.org/#!Synapse:syn3193805/wiki/89480,Dataset,participants,3
CT,CHAOS,Abdomen,CT,Abdomen organs,https://zenodo.org/records/3431873,Dataset,organizers,62
CT,Colorectal-Liver_Metastases,Abdomen,CT,"Liver, Colorectal Liver Metastases",https://www.cancerimagingarchive.net/collection/colorectal-liver-metastases/,Dataset,organizers,66
CT,COVID-19-20,Chest,CT,COVID-19 lesions,https://covid-segmentation.grand-challenge.org/Data/,Dataset,organizers,7
CT,COVID-19-20-CTSEG,Chest,CT,"COVID-19 Infections, left lung, right lung",https://zenodo.org/records/3757476,Dataset,organizers,8
CT,COVID-19-CT-Seg-Benchmark,Chest,CT,Lungs,https://github.com/JunMa11/COVID-19-CT-Seg-Benchmark,Dataset,organizers,19
CT,CT Lymph Nodes,"Chest, Abdomen",CT,lymph nodes,https://doi.org/10.7937/K9/TCIA.2015.AQIIDCNM,Dataset,organizers,20
CT,CT_ORG,Abdomen,CT,Abdominal organs,https://www.cancerimagingarchive.net/collection/ct-org/,Dataset,participants,4
CT,CURVAS,Abdomen,CT,"pancrease, kidney, liver",https://zenodo.org/records/13767408,Dataset,organizers,165
CT,DeepLesion-MedSAM2,Whole-body lesions,CT,Lesion,https://huggingface.co/datasets/wanglab/CT_DeepLesion-MedSAM2,Dataset,organizers,173
CT,FDG-PET-CT-Lesions (autoPET),whole body,CT,tumor,https://it-portal.med.uni-muenchen.de/autopet/Autopet_v1.1.tgz,Dataset,organizers,27
